carrier;train_number;OD_dep;OD_arr;train_dep_time;train_arr_time;OD_dep_time;OD_arr_time;OD_connecting_station;connection_traffic
TGV Regional;7200;LLE;PNO;5:49;7:9;5:49;7:9;direct;187.9585859655758
TGV Regional;7200;QRV;PNO;5:49;7:9;6:14;7:9;direct;152.0414140344242
TGV Navette;7002;LLE;PNO;6:41;7:42;6:41;7:42;direct;650.4632883890687
TER;XVSLLE1;XVS;PNO;5:50;6:20;5:50;7:42;LLE;27.965335752821318
TGV Navette;7002;XVS;PNO;6:41;7:42;5:50;7:42;LLE;27.965335752821318
TERGV;AEBLLE1;AEB;PNO;5:28;6:28;5:28;7:42;LLE;13.091396220838275
TGV Navette;7002;AEB;PNO;6:41;7:42;5:28;7:42;LLE;13.091396220838275
TERGV;AEBLLE1;STH;PNO;5:28;6:28;5:59;7:42;LLE;25.84169664241955
TGV Navette;7002;STH;PNO;6:41;7:42;5:59;7:42;LLE;25.84169664241955
TGV Navette;7001;PNO;LLE;6:46;7:48;6:46;7:48;direct;174.56341608404608
TGV Regional;7104;XVS;PNO;6:15;8:8;6:15;8:8;direct;23.87693616351837
TGV Regional;7104;XDN;PNO;6:15;8:8;6:51;8:8;direct;96.21876135069206
TGV Regional;7104;QRV;PNO;6:15;8:8;7:17;8:8;direct;219.90430248578957
TGV Regional;7304;ADI;PNO;5:55;8:8;5:55;8:8;direct;21.9900620460574
TGV Regional;7304;XBH;PNO;5:55;8:8;6:41;8:8;direct;61.13242910011323
TGV Regional;7304;QRV;PNO;5:55;8:8;7:23;8:8;direct;184.6971572352914
TGV Regional;7304;XLE;PNO;5:55;8:8;6:55;8:8;direct;49.863963000462306
TGV Regional;7304;HZK;PNO;5:55;8:8;6:18;8:8;direct;22.316388618075674
TER;XVSLLE2;XVS;PNO;6:18;6:48;6:18;8:12;LLE;28.53434840950459
TGV Navette;7006;XVS;PNO;7:11;8:12;6:18;8:12;LLE;28.53434840950459
TGV Navette;7006;LLE;PNO;7:11;8:12;7:11;8:12;direct;800.8918050095534
TGV Navette;7005;PNO;LLE;7:28;8:30;7:28;8:30;direct;532.6269796046278
TER;XVSLLE3;XVS;PNO;6:50;7:20;6:50;8:42;LLE;28.35337052406902
TGV Navette;7010;XVS;PNO;7:41;8:42;6:50;8:42;LLE;28.35337052406902
TGV Navette;7010;LLE;PNO;7:41;8:42;7:41;8:42;direct;800.379887441187
TGV Regional;7106;XVS;PNO;6:52;8:45;6:52;8:45;direct;20.688590431571935
TGV Regional;7106;XDN;PNO;6:52;8:45;7:28;8:45;direct;86.18748048631844
TGV Regional;7106;QRV;PNO;6:52;8:45;7:54;8:45;direct;166.21970355835643
TER;ADIQRV1;ADI;PNO;5:32;7:5;5:32;8:45;QRV;4.130433693304409
TGV Regional;7106;ADI;PNO;6:52;8:45;5:32;8:45;QRV;4.130433693304409
TER;ADIQRV1;XBH;PNO;5:32;7:5;6:35;8:45;QRV;25.176194723027002
TGV Regional;7106;XBH;PNO;6:52;8:45;6:35;8:45;QRV;25.176194723027002
